# fieldname  subfieldno  ra  dec
DEEP2-3	 1       351.82461      0.24630478
DEEP2-3	 2       352.02849     -0.56548689
DEEP2-3	 3       352.92943      0.19010327
XMMLSS  1       34.601423      -4.9840330
XMMLSS  2       35.510765      -4.4296800
XMMLSS  3       35.655228      -5.4001416
XMMLSS  4       36.558275      -4.7062255
COSMOS  1       149.63643       1.6181971
COSMOS  2       149.63310       2.7617594
COSMOS  3       150.70279       1.5800349
COSMOS  4       150.45461       2.4720818
EN1  1	241.75   	55.00
EN1  2	243.85   	55.00
EN1  3	242.80   	53.95
EN1  4	242.80   	56.05
